"cntry_iso2","n","pct"
"GR",1843,8.84654154466471
"AT",1475,7.08011328181251
"IE",1340,6.43210291364662
"HU",1285,6.16809868957903
"NL",1242,5.96169538712619
"IT",1234,5.92329477271636
"FI",1177,5.64969039504632
"BG",1138,5.4624873997984
"ES",1090,5.23208371333941
"SE",1078,5.17448279172467
"SK",1035,4.96807948927183
"PL",1022,4.90567849085585
"BE",1015,4.87207795324725
"FR",880,4.22406758508136
"EE",808,3.87846205539289
"HR",800,3.84006144098306
"PT",739,3.5472567561081
"SI",698,3.35045360725772
"LV",614,2.9472471559545
"CY",320,1.53602457639322
